original,translation
Cyraneica (UK Lybia),برقه
Wangunks,Wangunks
Champagne & Aishihik,Champagne & Aishihik
Santo Domingo (Spain),سانتو دومینگو
Kanauj,قنوج
Republic of Kraków,شهر آزاد کراکوف
Kaimbé,Kaimbé
Opelousas,آپلوسس، لوئیزیانا
Saint Kitts and Nevis (UK),سنت کیتس و نویس
Yuat,Yuat
Ben 'Zaa/Binnizá/Mén Diiste/Bene Xhon (Zapoteco),Ben 'Zaa/Binnizá/Mén Diiste/Bene Xhon (Zapoteco)
Da’naxda’xw Awaetlatla,Da’naxda’xw Awaetlatla
Yupangathi,Yupangathi
Wicocomico,Wicocomico
Malla,Malla
Finno-Ugric taiga hunter-gatherers,Finno-Ugric taiga hunter-gatherers
Guadeloupe,گوادلوپ
Koko-bera,Koko-bera
Cambodia,کامبوج
Mataram,مدانگ
Omaguaca,Omaguaca
British East India Company,کمپانی هند شرقی بریتانیا
Bosnia,بوسنی
Tepehuane,Tepehuane
Olmec,اولمک
Lənape Haki-nk (Lenni-Lenape),Lənape Haki-nk (Lenni-Lenape)
Papago,Papago
Mundurukânia (Wuy jugu),Mundurukânia (Wuy jugu)
Tojolwinik’otik (Tojolabal),Tojolwinik’otik (Tojolabal)
Jaitmatang,Jaitmatang
Oman (British Raj),عمان
Khitans,مردم خیتان
Uchucklesaht,Uchucklesaht
American Samoa,ساموآی آمریکا
Biripi,Biripi
Navaho,ناواهو
Onöndowa'ga:' (Seneca),Onöndowa'ga:' (Seneca)
Wolastoqiyik Wahsipekuk (Maliseet),Wolastoqiyik Wahsipekuk (Maliseet)
Nari Nari,Nari Nari
Homo heidelbergensis,انسان هایدلبرگی
Kadiwéu,Kadiwéu
Awsa,Awsa
Entiat,انتیات
Toara,Toara
Cusabo,Cusabo
Levantine Corridor (Neolithic Farmers),کریدور شام
Mauretania,Mauretania
Guna of Madugandí,Guna of Madugandí
Nanti,Nanti
Tacana,تاکانا
Cape Fear,Cape Fear
Taiwanese Tribes,قبایل تایوانی
Hispaniola (Spain),هیسپانیولا
Pascua Yaqui,Pascua Yaqui
Virginia,ویرجینیا
Portuguese Brazil,برزیل مستعمراتی
Abnaki,Abnaki
Paekche,بکجه
Tjungundji,Tjungundji
Watassid Morocco,وطاسیان
Paipai (Akwa'ala),Paipai
Kokatha,Kokatha
Hopitutskwa,Hopitutskwa
Nhuwala,Nhuwala
Nguni,
Wisijsa,
Blackfoot,
Chelamela,
Upper Kuskokwim,
T'atsaot'ine,
Teotihuac�n,
Nadleh Whut'en,
Marksville Culture,
Nepal,نپال
Vacacocha,
Calabar,
Czechoslovakia,
Kwakwaka'wakw,
Ninticoy,
Samoa,
Kriol,
Madras,
Air,
Nahuas,
Pequawket,
Kundjey’mi,
Mescalero,
Western Roman Empire,
Adena Culture,
Hindu Shahis,
British American colonies,
Solankis,
Athabascan,
Accra,
Samnites,
Lavo,
Kingdom of Sardinia,
Sinhalese kingdoms,
Gurindji,
Sataré-Mawé,
Mandjindja,
Occaneechi,
Germany (Soviet),
Bosporian Kingdom,
Wuthathi,
Trinidad,
Miccosukee,
Nan-Zhao,
Kitu Kara,
Quazaq Khanate,
Susquehanna,
Tibeto-Burmanese,
Guajajara,
Baden,
Champa,
Huetar,
Gundungurra,
Ka'apor,
Plains Miwok,
Elam,
Habsburg Netherlands,
Quebec,
Mochó,
Havasupai,
Geats,
Fernandeño Tataviam,
Nyawaygi,
Guacata,
Pewa,
Czech Republic,
Italy,
Shoshone-Bannock,
Marrithiyel,
Guanaca,
Graton Rancheria,
Baré,
Vice Royalty of Peru,
Turingians,
Vietnam,ویتنام
Itonama,
Chernoles culture,
Navarre,
Ngalawangka,
Papuans,
Djirbalngan,
Takrur,
Hindu kingdoms,
Tlinoit,
Kingdom of Norway,
Kurnai,
Popeloutchom (Amah Mutsun),
Cheras,
Kantaruré,
Nadöb,
Onawmanient,
Wardaman,
Kazakhstan,قزاقستان
Wallis and Futuna Islands,
Totonaco,
Secwepemcúl'ecw (Secwépemc),
Enets,
šxʷməθkʷəy̓əmaɁɬ təməxʷ (Musqueam),
Helvetic Republic,
Georgia,گرجستان
Mon-Khmer,
Tsa'chila,
Wergaia,
Funan,
Lipi,
Kooma,
Lesotho,
Selk'nam,
Itelmen,
Iogys,
New France,
Kawahib (Parintintin),
Dendi Kingdom,
Caloosahatchee cultureure,
German E. Africa (Tanganyika),
Korubo,
Arikara,
Gupta Empire,
Oromo,
Morocco (France),
Waymaq,
Thalanyji,
Manioc farmers,
Ouighurs,
Wakabunga,
Yurutí,
Barranbinya,
Tamien Nation,
Chuds,
Hoopa (Reservation),
nuučaan̓uuɫɁatḥ nism̓a (Nuu-chah-nulth),
Zululand,
Lebanon,لبنان
Gananggalinda,
Nükak Makü,
Barí,
Awytyza,
Winaq Qo’ (Mam),
Algeria (France),الجزایر
Lusatian culture,
Nawa,
Sana,
Zaire,زئیر
Paracas,
Totonac,
Kalapuya,
Mandatory Palestine (GB),
Yup'ik & Cup'ik,
Proto-Tibetan cultures,
"Cayuse, Umatilla and Walla Walla",
Yaruro/Pumé,
Ngawun,
Kokowarra,
Matetamãe/Cinta Larga,
Gaya,
Grenada,
Acjachemen (Juaneño),
Krĩcatijê,
Sasanian Empire,شاهنشاهی ساسانی
Artsakh,
Kingdom of David and Solomon,
Roanoke,
Inca Empire,
Yukagir,
Hittites,
Kingdom of Georgia,
Stellat'en,
West Getaes,
Bornu-Kanem,
Miller,
Maori,
Funj,
Jin Empire,
Paraguay,
Ivory Coast,
Castille,
Armenia,
Thai,
Vasconia,
Greenland,
Poland,
Gitanyow Lax’yip,
Ethiopian highland farmers,
Hafsid Caliphate,
Seminole (Oklahoma),
Aboriginal tribes,
Yiman,
Celtiberians,
Batsil Winik' Otik (Tzotzil),
Ngan’gikurunggurr,
Tequesta,
Ngandji,
Eastern Nehântick,
Hohenzollern,
Vanyumé,
Korea (USSR),
Shiwilu,
Croatian kingdom,
Amangu,
Günün a atük (Günün a küna),
Shíshálh,
Khiva Khanate,
Himyarite Kingdom,
Schaumburg-Lippe,
Babylonia,
United Provinces of La Plata,
Kalinga,
Visigoths,
Djibouti,
Aztec Empire,
Yeopim,
Aché,
Janabres,
Frisians,
Urnfield cultures,
Mebêngôkre (Kayapó),
Maká,
Meškwahki·aša·hina (Fox),
Yuggera,
Dieri,
San Poil,
Pentucket,
Ngan’giwumirri,
Warekena,
Madagascar (France),
